name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Swartland Chenin Blanc Winemaker's Collection,3590,36.821,13.0,750
Joseph Drouhin Macon Lugny les Crays,3595,36.872,13.0,750
Falanghina Feudi di San Gregorio,3599,36.913,13.0,750
Baron de Ley Tres Vinas Blanco Reserva,3599,36.913,13.0,750
Edda Lei Bianco,3750,37.037,13.5,750
Uivo Moscatel Galego Branco,3199,37.09,11.5,750
Weingut der Stadt Mainz Riesling Bodenheimer,3490,37.227,12.5,750
Ambace Fiano Chardonnay,3497,37.301,12.5,750
La Chablisienne Petit Chablis,3498,37.312,12.5,750
Peter Lehmann The Barossan Chardonnay,3498,37.312,12.5,750
Jean Pabiot Pouilly-Fume Domaines des Fines Caillottes,3790,37.432,13.5,750
Kendall Jackson Vintner's Reserve Chardonnay,3798,37.511,13.5,750
Wente Morning Fog Chardonnay,3798,37.511,13.5,750
Bellingham Bernard Series Old Vine Chenin Blanc,3799,37.521,13.5,750
Umberto Cesari Moma Trebbiano Chardonnay,1832,37.579,13.0,375
