name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Paul Jaboulet Cotes du Rhone Parallele 45 rautt,2999,28.562,14.0,750,36.0
Castillo Monjardin Pinot Noir,2999,28.562,14.0,750,36.0
Finca San Martin Crianza,2999,28.562,14.0,750,37.0
Glorioso Crianza,2999,28.562,14.0,750,36.0
Coto de Imaz Reserva,2999,28.562,14.0,750,38.0
Morande Gran Reserva Cabernet Sauvignon Seleccion de Vinedos,2999,28.562,14.0,750,
Purato Siccari Appassimento,2999,28.562,14.0,750,41.0
George Wyndham Bin 555 Shiraz,2999,28.562,14.0,750,36.0
Seleccion de Fincas,2999,28.562,14.0,750,38.0
Chateau Eyquem,2999,28.562,14.0,750,39.0
Marques de Caceres Crianza,2785,28.564,13.0,750,37.0
Pete's Pure Shiraz,2790,28.615,13.0,750,38.0
Pete's Pure Cabernet Sauvignon,2790,28.615,13.0,750,39.0
Cantina Zaccagnini Montepulciano d'Abruzzo,2790,28.615,13.0,750,38.0
la Bestia Governo All'uso Toscano Rosso,2899,28.632,13.5,750,40.0
Finca Las Moras Reserva Cabernet Sauvignon Syrah,2899,28.632,13.5,750,35.0
Santa Cristina Toscana,2899,28.632,13.5,750,36.0
Vina Eguia Reserva,2899,28.632,13.5,750,37.0
Pfaffl Zweigelt vom Haus,2899,28.632,13.5,750,38.0
Valle del Maule Carmenere Malbec Terroir Wines,2899,28.632,13.5,750,40.0
Hope Reserve Shiraz,3010,28.667,14.0,750,34.0
Mission St. Vincent Merlot Cabernet Sauvignon,2689,28.683,12.5,750,34.0
Beau Rivage Rouge,2689,28.683,12.5,750,31.0
Villa Puccini Toscana,2690,28.693,12.5,750,35.0
Escada Touriga Nacional,2690,28.693,12.5,750,37.0
Campet Ste Marie Pinot Noir,2799,28.708,13.0,750,36.0
Cricova Rara Neagra Orasul,2799,28.708,13.0,750,35.0
Villa Wolf Pinot Noir,2799,28.708,13.0,750,37.0
Rapitala Nero d'Avola,2799,28.708,13.0,750,34.0
El Vinculo Crianza,3123,28.717,14.5,750,39.0
Montagnana Riserva,2800,28.718,13.0,750,36.0
Viva Valentina Sangiovese,1348,28.757,12.5,375,37.0
Pizzolato Pinot Nero,2699,28.789,12.5,750,35.0
Bayanegra Tempranillo,2591,28.789,12.0,750,37.0
Tommasi Graticcio Appassionato,2699,28.789,12.5,750,38.0
Faustino VII Tempranillo,729,28.877,13.5,187,36.0
Beefsteak Club Malbec Beef Liberty,2820,28.923,13.0,750,37.0
Vivanco Crianza,2939,29.027,13.5,750,38.0
Alamos Malbec,2940,29.037,13.5,750,37.0
Beronia Crianza,2940,29.037,13.5,750,36.0
Monte Velho rautt,2947,29.106,13.5,750,36.0
Wynns Coonawarra Estate Shiraz,2999,29.187,13.7,750,36.0
Jean Loron Cotes du Rhone rautt,2960,29.235,13.5,750,37.0
3 Passo Rosso,3078,29.314,14.0,750,41.0
Siglo Crianza Editio Oro,2973,29.363,13.5,750,35.0
Allegro Primitivo Organic,3085,29.381,14.0,750,42.0
Bulas Tinto,2975,29.383,13.5,750,39.0
Crudo Nero d'Avola Cabernet Sauvignon,3086,29.39,14.0,750,39.0
La Croix des Lamberts,3200,29.425,14.5,750,39.0
Chateau Camplazens La Garrigue,2986,29.491,13.5,750,39.0
Cellier des Princes Cotes du Rhone Grande Reserve,2990,29.531,13.5,750,38.0
